Rk,Player,Tm,Age,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds,Sk%,NY/A,ANY/A,4QC,GWD
1,Dan Marino*+,MIA,24,QB,16,16,12/4/00,336,567,59.3,4137,30,5.3,21,3.7,73,7.3,6.7,12.3,258.6,84.1,18,157,3.1,6.8,6.21,3,5
2,John Elway,DEN,25,QB,16,16,11/5/00,327,605,54,3891,22,3.6,23,3.8,65,6.4,5.4,11.9,243.2,70.2,38,307,5.9,5.57,4.65,6,6
3,Ken O'Brien*,NYJ,25,QB,16,16,11/5/00,297,488,60.9,3888,25,5.1,8,1.6,96,8,8.3,13.1,243,96.2,62,399,11.3,6.34,6.6,1,1
4,Phil Simms*,NYG,30,QB,16,16,10/6/00,275,495,55.6,3829,22,4.4,20,4,70,7.7,6.8,13.9,239.3,78.6,52,396,9.5,6.28,5.44,0,0
5,Joe Montana*,SFO,29,QB,15,15,9/6/00,303,494,61.3,3653,27,5.5,13,2.6,73,7.4,7.3,12.1,243.5,91.3,35,246,6.6,6.44,6.36,1,1
6,Dan Fouts*,SDG,34,QB,14,12,7/5/00,254,430,59.1,3638,27,6.3,20,4.7,75,8.5,7.6,14.3,259.9,88.1,18,135,4,7.82,7.02,3,3
7,Dave Krieg,SEA,27,QB,16,16,8/8/00,285,532,53.6,3602,27,5.1,20,3.8,54,6.8,6.1,12.6,225.1,76.2,52,448,8.9,5.4,4.78,2,2
8,Tommy Kramer,MIN,30,QB,15,15,6/9/00,277,506,54.7,3522,19,3.8,26,5.1,57,7,5.4,12.7,234.8,67.8,39,255,7.2,5.99,4.54,2,4
9,Ron Jaworski,PHI,34,QB,16,12,6/6/00,255,484,52.7,3450,17,3.5,20,4.1,99,7.1,6,13.5,215.6,70.2,34,289,6.6,6.1,5.02,3,4
10,Boomer Esiason,CIN,24,QB,15,14,7/7/00,251,431,58.2,3443,27,6.3,12,2.8,68,8,8,13.7,229.5,93.2,32,289,6.9,6.81,6.81,1,1
