,,,,,Games,,Rushing,,,,,,
Rk,Player,Tm,Age,Pos,G,GS,Att,Yds,TD,Lng,Y/A,Y/G,Fmb
1,Gerald Riggs*,ATL,25,RB,16,16,397,1719,10,50,4.3,107.4,0
2,Marcus Allen*+,RAI,25,RB,16,16,380,1759,11,61,4.6,109.9,3
3,James Wilder,TAM,27,RB,16,16,365,1300,10,28,3.6,81.3,9
4,Walter Payton*+,CHI,31,RB,16,16,324,1551,9,40,4.8,96.9,6
5,Tony Dorsett,DAL,31,RB,16,16,305,1307,7,60,4.3,81.7,7
6,Freeman McNeil*,NYJ,26,RB,14,13,294,1331,3,69,4.5,95.1,9
7,Joe Morris*,NYG,25,RB,16,16,294,1336,21,65,4.5,83.5,6
8,Eric Dickerson,RAM,25,RB,14,14,292,1234,12,43,4.2,88.1,10
9,Curt Warner,SEA,24,RB,16,16,291,1094,8,38,3.8,68.4,8
10,Earnest Jackson,PHI,26,RB,16,11,282,1028,5,59,3.6,64.3,3
11,Craig James*,NWE,24,FB,16,14,263,1227,5,65,4.7,76.7,8
12,Earnest Byner,CLE,23,RB,16,13,244,1002,8,36,4.1,62.6,5
13,James Jones,DET,24,FB,14,13,244,886,6,29,3.6,63.3,7
14,Frank Pollard,PIT,28,FB,16,16,233,991,3,56,4.3,61.9,2
15,George Rogers,WAS,27,rb,15,5,231,1093,7,35,4.7,72.9,9
16,Walter Abercrombie,PIT,26,RB,16,16,227,851,7,32,3.7,53.2,5
17,Greg Bell,BUF,23,FB/rb,16,15,223,883,8,77,4,55.2,8
18,Kevin Mack*,CLE,23,FB,16,15,222,1104,7,61,5,69,4
19,Roger Craig*,SFO,25,FB,16,16,214,1050,9,62,4.9,65.6,5
20,Darrin Nelson,MIN,26,RB,16,10,200,893,5,37,4.5,55.8,7
21,Sammy Winder,DEN,26,RB,14,12,199,714,8,42,3.6,51,4
22,James Brooks,CIN,27,RB,16,16,192,929,7,39,4.8,58.1,7
23,Randy McMillan,IND,27,FB,15,14,190,858,7,38,4.5,57.2,0
24,Stump Mitchell,STL,26,rb,16,8,183,1006,7,64,5.5,62.9,6
25,John Riggins,WAS,36,RB,12,11,176,677,8,51,3.8,56.4,3
26,Wendell Tyler,SFO,30,RB,13,12,171,867,6,30,5.1,66.7,6
27,Larry Kinnebrew,CIN,26,FB,12,11,170,714,9,29,4.2,59.5,4
28,Wayne Wilson,NOR,28,FB,16,10,168,645,1,41,3.8,40.3,2
29,Herman Heard,KAN,24,RB,16,12,164,595,4,33,3.6,37.2,4
30,Tony Collins,NWE,26,RB,16,16,163,657,3,28,4,41.1,6
31,Earl Campbell,NOR,30,RB,16,12,158,643,1,45,4.1,40.2,4
32,Jessie Clark,GNB,25,FB,16,14,147,633,5,80,4.3,39.6,4
33,Johnny Hector,NYJ,25,rb,14,5,145,572,6,22,3.9,40.9,2
